source	target
PIK3R2	SHC1
PIK3R2	RHOA
PIK3R2	SOS1
PIK3R2	SAA1
PIK3R2	AKT2
PIK3R2	JAK2
PIK3R2	EDN1
PIK3R2	PIK3CD
PIK3R2	ANXA1
PIK3R2	SYK
PIK3R2	SRC
PIK3R2	NGF
PIK3R2	FCGR3A
PIK3R2	AGT
PIK3R2	PIK3CG
PIK3R2	RAC1
PIK3R2	FYN
PIK3R2	JAK1
PIK3R2	PTPN11
PIK3R2	LCK
PIK3R2	GNG2
PIK3R2	CD86
PIK3R2	PDGFB
PIK3R2	CD28
PIK3R2	F2R
PIK3R2	TAC1
PIK3R2	F2
PIK3R2	CSF2
PIK3R2	IL3
PIK3R2	F2RL1
PIK3R2	PTGER1
PIK3R2	PIK3CB
PIK3R2	APP
PIK3R2	CYSLTR2
PIK3R2	EGFR
PIK3R2	FCGR2A
PIK3R2	FGF7
PIK3R2	KNG1
PIK3R2	FGF2
PIK3R2	CD80
PIK3R2	PIK3CA
PIK3R2	IL7
PIK3R2	AKT3
PIK3R2	GAB1
PIK3R2	TYROBP
PIK3R2	GNGT1
PIK3R2	PLCG1
PIK3R2	IL5
PIK3R2	IL2
TGFA	SERPINA1
TGFA	ESR1
TGFA	NCOA1
TGFA	INS
TGFA	AREG
TGFA	IGF1
CFTR	CCL4
CFTR	GNB1
CFTR	LDLR
CFTR	UBC
CFTR	UBA52
CFTR	TF
CFTR	CXCL12
CFTR	EDN1
CFTR	AGT
CFTR	F2
CFTR	UBB
CFTR	CCL11
CFTR	EGFR
CFTR	RPS27A
CFTR	EGF
CFTR	LRP2
CFTR	GNGT1
CFTR	APOB
CFTR	CD4
TP53	VEGFA
TP53	ABCB1
TP53	AKT1
TP53	UBC
TP53	TRAF6
TP53	CASP1
TP53	HRAS
TP53	ESR1
TP53	MAPK9
TP53	UBA52
TP53	NLRC4
TP53	BCL2
TP53	MAPK8
TP53	PRKCD
TP53	AKT2
TP53	HDAC1
TP53	JUN
TP53	PRDM1
TP53	PTGS2
TP53	MAPK10
TP53	CASP8
TP53	FAS
TP53	HMGB1
TP53	PTK2
TP53	HSP90AA1
TP53	MAPK11
TP53	SP1
TP53	GSK3B
TP53	NFKBIB
TP53	TERT
TP53	UBB
TP53	BCL2L1
TP53	BIRC5
TP53	BAX
TP53	PPARG
TP53	EGFR
TP53	RPS27A
IL23A	IL12RB1
IL23A	TYK2
IL23A	PIK3R1
IL23A	RELA
IL23A	JAK2
