source	target
TAB1	NOD1
TAB1	TGFB1
TAB1	RIPK2
TAB1	NFKBIA
TAB2	IKBKG
TAB2	MAP3K14
TAB2	TNFAIP3
TAB2	BIRC2
TAB2	MAP2K6
TAB2	UBC
TAB2	TRAF6
TAB2	IKBKB
TAB2	TICAM2
TAB2	MYD88
TAB2	TNF
TAB2	UBA52
TAB2	RELA
TAB2	TAB3
TAB2	TLR4
TAB2	XIAP
TAB2	CHUK
TAB2	IRAK1
TAB2	MAP3K7
TAB3	IKBKG
TAB3	TNFAIP3
TAB3	BIRC2
TAB3	MAP2K6
TAB3	UBC
TAB3	TRAF6
TAB3	IKBKB
TAB3	TICAM2
TAB3	TNF
TAB3	UBA52
TAB3	RELA
UBE2N	IKBKG
UBE2N	MAP2K6
UBE2N	UBC
UBE2N	TRAF6
UBE2N	IKBKB
UBE2N	TICAM2
UBE2N	MYD88
UBE2N	IRAK4
UBE2N	UBA52
UBE2N	RELA
UBE2N	MAP3K1
UBE2N	IRF7
UBE2N	TLR7
UBE2N	TAB3
UBE2N	TLR4
UBE2N	CHUK
UBE2N	IRAK1
UBE2N	MAP3K7
UBE2N	TAB2
UBE2N	PARP1
UBE2N	MAP2K3
UBE2N	ENSP00000344166
UBE2N	UBE2V1
UBE2N	ZBTB16
UBE2N	SOCS3
UBE2N	TRIM25
IL9	STAT1
IL9	IL17A
IL9	JAK1
IL7	PIK3R1
IL7	JAK1
IL7	IL15
PROC	PRKCSH
PROC	TF
PROC	IL6
PROC	CST3
PROC	ITGB2
PROC	SPP1
PROC	FN1
PROC	CSF1
PROC	F2R
PROC	F2
PROC	HSP90B1
PROC	PF4
PROC	ALB
PROC	APP
PROC	KNG1
PROC	CDH1
PROC	VWF
PROC	APOE
PROC	C3
PROC	BMP4
PROC	APOA1
IL5	PIK3R1
IL5	IL10
IL5	SHC1
IL5	JAK2
IL5	GATA3
IL5	PIK3CD
IL5	JAK1
IL5	PTPN11
IL5	IL13
IL5	CCL11
IL5	CSF2
IL5	IL3
IL5	IL9
IL5	PIK3CA
MAVS	IKBKG
MAVS	IRF3
MAVS	IKBKE
MAVS	TRAF3
MAVS	TRAF6
MAVS	IKBKB
IL6	VEGFA
IL6	CCL3
IL6	CCL5
IL6	MAP2K6
IL6	PRKCSH
IL6	TYK2
IL6	CXCL2
IL6	IL10
IL6	SHC1
IL6	TNF
IL6	ADIPOQ
IL6	TF
IL3	PIK3R1
IL3	SHC1
IL3	JAK2
IL3	PIK3CD
IL3	JAK1
IL3	PTPN11
IL3	CSF2
BMP4	PRKCSH
BMP4	SMAD1
BMP4	TF
BMP4	IL6
BMP4	CST3
BMP4	SPP1
BMP4	XIAP
BMP4	MAP3K7
BMP4	TAB2
BMP4	FN1
BMP4	CSF1
BMP4	HSP90B1
BMP4	ALB
BMP4	APP
BMP4	KNG1
BMP4	APOE
BMP4	C3
NFKBIA	IKBKG
NFKBIA	TNFAIP3
NFKBIA	MYC
NFKBIA	UBC
NFKBIA	TRAF6
NFKBIA	TYK2
NFKBIA	IKBKB
NFKBIA	PIK3R1
NFKBIA	MAVS
NFKBIA	MYD88
NFKBIA	TNF
NFKBIA	UBA52
NFKBIA	PPARA
NFKBIA	RELA
NFKBIA	MAP3K1
NFKBIA	JAK2
NFKBIA	DDX58
NFKBIA	TAB3
NFKBIA	SRC
NFKBIA	CD40
NFKBIA	JUN
NFKBIA	ZBP1
NFKBIA	CD40LG
NFKBIA	CHUK
NFKBIA	IRAK1
NFKBIA	NFKB2
NFKBIA	NGF
NFKBIA	MAP3K7
NFKBIA	TAB2
NFKBIA	UBE2V1
NFKBIA	RNF135
NFKBIA	NOS2
NFKBIA	TRIM25
NFKBIA	UBE2N
NFKBIA	NFKBIB
NFKBIA	UBB
NFKBIA	REL
NFKBIA	RPS27A
NFKBIA	PIK3CA
NFKBIA	IFIH1
NFKBIA	MAPK3
NFKBIA	CREBBP
NFKBIA	RIPK1
NFKBIA	IRAK2
NFKBIA	TRAF2
NFKBIA	IL12B
